"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151"
-0.068,-0.09,0.1,-0.138,-0.053,-0.245,-0.047,-0.065,-0.123,-0.132,-0.038,0.008,-0.001,0.118,0.203,0.243,0.441,0.698,1.018,1.564,1.915,2.446,2.95,3.499,4.07,4.613,5.248,5.785,6.237,6.698,7.109,7.604,7.872,8.419,8.355,8.269,8.229,8.602,8.629,8.519,8.519,8.382,8.547,8.031,7.769,7.491,7.39,7.03,6.655,6.441,5.99,5.755,5.379,4.897,4.546,4.104,3.881,3.582,3.569,2.98,2.611,2.446,2.239,2.05,2.022,1.909,1.574,1.51,1.442,1.238,1.11,1.04,0.979,0.93,0.698,0.576,0.457,0.493,0.46,0.036,0.213,0.258,0.56,0.13,0.09,0.008,0.112,0.005,-0.151,-0.254,0.008,0.042,-0.038,-0.044,-0.032,-0.093,-0.09,0.496,-0.138,-0.096,-0.129,-0.09,-0.163,-0.132,-0.077,-0.343,-0.111,-0.16,-0.117,-0.206,-0.193,-0.129,-0.035,0.188,-0.077,-0.108,-0.56,-0.083,-0.117,0.026,-0.187,-0.099,0.13,-0.16,-0.09,-0.215,-0.08,-0.132,0.328,-0.126,-0.206,-0.056,-0.032,-0.019,0.005,-0.047,-0.373,-0.132,-0.187,-0.029,-0.083,-0.05,-0.123,-0.126,-0.038,-0.019,-0.062,-0.08,-0.087,-0.105,-0.032
0.078,-0.032,-0.053,0.029,-0.026,-0.004,0.002,0.118,0.057,0.036,-0.007,0.191,0.136,0.069,-0.288,0.298,0.454,1.122,1.094,1.427,1.894,2.312,2.761,2.932,3.85,4.329,4.747,5.214,5.498,5.986,6.054,6.652,6.929,6.932,7.091,7.067,7.244,7.241,7.265,7.198,7.024,6.96,6.698,6.557,6.472,6.145,6.511,5.779,5.477,5.236,4.982,4.903,4.473,4.003,3.2,3.402,3.118,2.953,2.614,2.388,2.483,1.943,1.406,1.482,1.552,1.329,1.009,1.152,1.064,1.018,0.695,0.725,0.707,0.563,0.438,0.457,0.441,0.289,0.136,0.145,0.121,0.124,0.066,0.017,0.103,0.032,0.063,-0.059,0.036,-0.074,-0.05,-0.032,-0.077,-0.129,0.06,-0.047,0.048,-0.572,-0.041,-0.09,0.127,-0.105,-0.123,0.35,-0.102,-0.096,-0.346,-0.096,0.048,-0.273,-0.102,-0.041,-0.032,-0.062,-0.126,-0.007,-0.062,-0.312,-0.032,-0.108,-0.059,-0.175,-0.111,-0.111,-0.145,-0.172,-0.05,-0.096,-0.004,-0.096,0.002,-0.102,-0.062,0.234,-0.096,-0.111,-0.056,0.069,-0.132,-0.126,-0.105,0.533,-0.087,-0.511,-0.175,-0.065,0.292,-0.102,-0.047,0.213,-0.12
-0.148,-0.09,-0.053,-0.05,-0.047,-0.047,-0.038,-0.233,-0.166,0.115,-0.044,-0.05,-0.45,0.036,0.051,0.469,0.267,0.542,0.756,0.921,1.186,1.339,2.013,2.562,3.099,3.67,4.329,4.747,5.367,5.88,6.304,6.774,7.155,7.515,7.787,8.092,8.254,8.59,8.901,8.721,8.66,8.623,8.596,8.434,8.324,8.083,7.805,7.567,7.402,7.369,6.908,6.594,5.977,5.95,5.477,5.181,4.738,4.387,4.29,3.594,3.191,2.584,2.565,2.349,2.034,1.949,1.787,1.635,1.479,1.281,1.262,1.168,1.003,0.924,0.847,0.783,0.634,1.094,0.567,0.365,0.347,0.197,0.313,0.17,0.103,-0.132,0.002,-0.01,0.039,-0.007,-0.016,-0.108,-0.007,-0.032,-0.196,-0.529,-0.102,-0.138,0.255,-0.221,-0.145,-0.172,-0.138,-0.132,-0.462,-0.111,-0.184,-0.16,-0.343,-0.141,-0.12,-0.151,-0.117,-0.141,-0.251,-0.212,0.264,-0.16,-0.196,-0.215,-0.157,-0.242,-0.129,-0.138,-0.434,-0.154,-0.184,-0.203,-0.215,-0.053,-0.172,-0.227,0.087,-0.245,-0.184,-0.645,-0.111,-0.193,0.042,-0.273,-0.3,-0.019,-0.074,-0.19,-0.431,-0.203,-0.184,-0.09,-0.068,-0.12,-0.093
-0.065,0.045,-0.093,-0.01,0.072,-0.035,-0.056,-0.203,0.029,-0.022,-0.169,-0.007,-0.007,0.42,0.011,-0.184,-0.148,0.045,0.139,0.103,0.591,0.817,1.244,1.555,2.099,2.785,3.487,4.216,5.108,5.767,7.073,7.076,7.799,8.312,8.782,9.136,9.42,9.624,9.792,9.743,9.755,9.603,9.49,9.331,9.191,8.645,8.715,8.294,8.052,7.775,7.058,6.99,6.569,6.353,5.773,5.495,4.989,4.934,4.595,3.994,3.923,3.679,3.527,3.06,2.843,2.657,2.443,2.227,2.114,1.65,1.528,1.308,1.244,1.107,0.954,0.896,0.817,0.731,0.554,0.53,0.46,0.383,0.283,0.136,0.359,0.151,0.078,0.06,0.115,-0.019,-0.254,-0.187,0.023,0.42,-0.114,-0.141,-0.129,-0.035,-0.068,-0.355,-0.056,-0.126,-0.029,-0.044,-0.105,-0.062,-0.315,-0.163,-0.102,-0.123,-0.145,-0.145,-0.126,-0.12,-0.236,-0.059,-0.114,-0.074,-0.114,-0.09,-0.044,0.197,-0.187,-0.126,-0.026,-0.093,-0.19,-0.071,-0.203,-0.175,-0.346,-0.19,-0.019,-0.349,-0.175,-0.145,0.118,-0.065,-0.108,-0.218,-0.19,-0.105,-0.288,-0.154,-0.221,-0.032,-0.148,-0.187,-0.16,-0.166,-0.05
-0.291,-0.193,-0.273,-0.196,-0.175,-0.135,-0.181,-0.495,-0.123,-0.212,-0.126,-0.083,-0.126,-0.068,-0.117,0.182,-0.044,-0.013,-0.349,0.136,0.472,1.131,1,1.366,2.056,2.453,3.029,3.386,4.284,4.866,5.202,6.063,6.444,6.942,7.262,7.54,7.912,8.016,8.69,8.159,8.266,8.281,8.117,8.01,7.854,7.805,7.174,7.25,6.99,6.853,6.536,6.2,5.88,5.446,5.175,4.226,4.342,4.091,3.713,3.322,3.005,2.996,2.425,2.279,1.842,1.961,1.671,1.543,1.323,1.076,1.177,0.997,0.85,0.777,0.6,0.408,0.396,0.527,0.289,0.179,0.164,0.078,0.109,-0.019,-0.059,-0.184,-0.053,-0.077,-0.163,-0.062,-0.175,-0.166,-0.331,-0.163,-0.34,-0.206,-0.251,-0.135,0.069,-0.27,-0.248,-0.532,-0.138,-0.248,-0.218,-0.221,-0.273,-0.187,-0.386,-0.099,-0.138,-0.175,-0.193,-0.273,-0.196,-0.267,-0.022,-0.218,-0.227,-0.16,-0.227,-0.233,-0.233,-0.224,-0.434,-0.206,-0.187,-0.26,-0.257,-0.218,-0.242,-0.227,-0.508,-0.239,-0.221,0.161,-0.254,-0.129,-0.389,-0.288,-0.288,-0.254,-0.218,-0.276,-0.105,-0.245,-0.203,-0.352,-0.108,-0.227,-0.242
-0.041,-0.087,-0.004,-0.08,-0.056,0.441,-0.09,-0.038,0.029,-0.004,-0.074,0.057,-0.016,0.414,-0.575,-0.05,0.118,0.515,0.142,0.396,0.502,1.159,1.629,2.26,2.953,3.771,4.647,5.361,6.212,6.63,7.402,8.077,8.452,8.962,9.301,9.6,9.752,9.493,9.832,9.707,9.655,9.386,9.197,8.995,8.699,8.336,8.153,7.872,7.628,7.113,6.679,6.456,5.825,5.672,4.976,4.854,4.482,4.314,3.954,3.685,3.576,3.289,2.971,2.733,2.483,2.352,2.056,1.94,1.68,1.598,1.305,1.171,1.085,0.905,0.811,0.625,0.567,0.444,0.417,0.029,0.38,0.277,0.493,0.106,0.005,0.097,0.133,-0.056,-0.175,-0.013,-0.083,0.029,-0.148,0.057,-0.019,-0.151,-0.105,-0.187,-0.199,-0.105,0.158,-0.071,-0.23,-0.169,-0.172,-0.145,-0.099,-0.108,0.386,-0.227,-0.01,-0.19,-0.193,-0.63,-0.16,-0.151,0.304,-0.276,-0.16,-0.318,-0.184,-0.157,-0.215,-0.227,-0.495,-0.129,-0.193,-0.175,-0.145,-0.282,-0.199,-0.318,-0.37,-0.212,-0.224,-0.251,-0.203,-0.123,-0.215,-0.193,-0.102,-0.233,-0.27,-0.264,-0.099,-0.187,-0.203,-0.502,-0.08,-0.163,0.036
-0.059,0.115,-0.032,-0.132,0.054,-0.09,-0.166,-0.361,-0.099,-0.083,-0.004,-0.117,-0.004,0.069,0.097,0.155,0.301,0.505,0.914,1.21,1.894,2.449,3.099,3.774,4.537,5.291,5.959,6.533,7.14,7.622,8.007,8.391,8.782,9.035,9.124,9.02,9.325,9.2,9.465,8.989,8.892,8.306,8.336,8.165,8.04,7.68,7.399,7.1,6.728,6.105,6.017,5.596,5.294,4.915,4.409,4.168,3.881,3.408,3.377,3.008,2.739,2.492,2.19,1.94,1.745,1.699,1.604,1.214,1.043,0.417,0.75,0.646,1.009,0.997,0.53,0.298,0.35,0.228,0.032,0.182,0.151,0.6,0.017,-0.007,0.063,0.078,-0.148,-0.154,-0.172,0.261,-0.282,-0.254,-0.114,-0.135,-0.23,-0.294,-0.184,-0.044,-0.297,-0.288,-0.178,-0.242,-0.3,-0.303,-0.166,-0.306,-0.431,-0.297,-0.212,0.072,-0.3,-0.203,-0.48,-0.471,-0.306,-0.187,-0.248,-0.154,-0.187,-0.193,-0.254,-0.45,-0.264,-0.151,-0.23,-0.138,-0.193,-0.212,-0.196,-0.413,-0.169,-0.212,-0.245,-0.279,-0.141,-0.19,-0.193,-0.233,-0.257,-0.26,-0.618,-0.163,-0.203,0.219,-0.264,-0.398,-0.431,-0.19,-0.257,-0.239,-0.264
-0.102,0.005,-0.16,-0.145,-0.218,-0.053,-0.132,0.136,-0.169,-0.102,-0.279,-0.029,0.005,0.139,0.103,0.213,0.246,0.441,0.728,0.942,1.369,1.888,2.404,3.02,3.798,4.516,5.095,5.73,6.27,6.865,7.012,7.729,8.062,8.321,8.477,8.44,8.574,8.626,8.953,8.324,8.181,7.702,7.753,7.515,7.467,7.1,6.911,6.539,6.148,5.849,5.474,5.181,4.75,4.326,3.655,3.582,3.405,3.075,2.822,2.605,2.449,2.193,2.065,1.952,1.735,1.479,1.131,1.162,0.93,1.223,0.805,0.679,0.252,0.429,0.225,0.243,0.103,0.036,0.078,-0.083,-0.141,-0.203,-0.199,-0.19,-0.3,-0.389,-0.236,-0.285,-0.395,-0.318,-0.303,-0.38,-0.328,0.164,-0.221,-0.303,-0.291,-0.734,-0.257,-0.297,0.097,-0.611,-0.291,-0.508,-0.254,-0.199,-0.19,-0.254,-0.236,-0.123,-0.218,-0.218,-0.221,-0.242,-0.288,-0.355,-0.187,-0.199,-0.117,-0.282,-0.245,-0.203,-0.196,-0.233,-0.459,-0.126,-0.264,-0.276,-0.758,-0.206,-0.227,0.081,0.31,-0.257,-0.447,-0.288,-0.203,-0.383,-0.215,-0.303,-0.465,-0.203,-0.291,-0.196,-0.248,-0.215,-0.291,-0.309,-0.331,-0.267,-0.224
-0.172,-0.083,-0.12,0.023,-0.376,-0.056,-0.105,-0.117,-0.05,-0.09,-0.032,-0.074,-0.389,-0.282,-0.004,0.026,0.225,0.121,0.231,0.289,0.927,1.226,1.918,2.306,2.913,3.63,4.247,4.894,5.62,6.224,6.899,7.29,7.818,8.168,8.58,8.403,8.968,8.992,9.02,8.971,8.852,8.687,8.568,8.379,8.452,7.848,7.683,7.314,7.094,6.676,6.594,5.983,5.55,5.285,4.952,4.497,4.235,3.811,3.356,3.209,3.035,2.828,2.718,2.422,2.224,2.08,1.882,1.836,1.738,1.644,1.348,1.207,0.554,1.186,0.853,1.284,0.655,0.594,0.194,0.405,0.344,0.075,0.322,0.191,0.209,0.167,0.09,0.106,0.02,-0.062,0.036,0.008,0.002,-0.08,0.002,-0.007,0.249,0.017,-0.099,-0.071,-0.141,-0.059,-0.035,0.045,-0.318,-0.123,-0.105,-0.114,-0.022,-0.215,-0.062,-0.029,-0.019,-0.068,-0.09,0.011,-0.12,-0.062,-0.178,-0.273,-0.071,-0.087,-0.083,-0.12,-0.148,-0.08,-0.199,-0.303,-0.053,-0.077,-0.093,-0.141,-0.175,-0.166,-0.059,-0.001,-0.09,-0.291,-0.114,-0.117,-0.056,-0.074,-0.288,0.023,-0.181,-0.16,-0.215,-0.172,-0.117,-0.032,-0.102
-0.224,0.017,-0.184,-0.096,-0.279,-0.111,-0.135,-0.01,-0.129,-0.062,-0.059,-0.117,-0.068,-0.129,-0.154,-0.044,-0.022,0.087,0.231,0.335,0.536,0.921,1.381,2.068,2.422,3.032,3.243,4.299,5.004,6.133,6.243,6.627,6.823,7.457,7.741,8.086,8.205,8.266,8.303,7.979,7.995,7.781,7.763,7.61,7.372,7.167,6.795,6.304,6.258,5.852,5.587,5.385,4.885,4.351,3.716,3.688,3.505,3.664,3.017,2.706,2.279,2.34,2.175,1.922,1.86,1.735,1.558,1.281,1.183,1.036,1.009,0.71,0.777,0.667,0.539,0.46,0.46,0.301,0.307,0.301,0.197,0.145,-0.203,0.097,0.106,0.377,-0.053,-0.264,-0.337,-0.056,-0.065,0.045,-0.062,-0.096,-0.096,-0.349,-0.071,-0.126,-0.099,-0.199,-0.163,-0.181,-0.157,-0.337,-0.096,-0.108,-0.135,-0.108,-0.151,-0.138,-0.584,-0.422,-0.096,0.301,-0.184,-0.114,-0.297,-0.145,-0.065,-0.401,-0.044,-0.071,-0.099,-0.032,-0.068,-0.035,-0.126,-0.41,-0.166,-0.059,-0.077,-0.083,-0.077,-0.141,-0.114,-0.395,-0.111,-0.087,-0.221,-0.151,-0.114,-0.007,-0.099,-0.355,-0.068,-0.077,-0.099,-0.331,-0.093,-0.035,-0.029
